,PASSING,RUSHING,MISC,position,player_name,week,RECEIVING,Player,FG,FGA,XPT,FPTS,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Josh Allen BUF,29.4,20.7,237.2,QB,Josh Allen BUF,10,,,,,,,,,,,,,,
Lamar Jackson BAL,27.4,19.1,239.2,QB,Lamar Jackson BAL,10,,,,,,,,,,,,,,
Jaxson Dart NYG,32.0,20.7,231.3,QB,Jaxson Dart NYG,10,,,,,,,,,,,,,,
Drake Maye NE,30.4,21.9,253.5,QB,Drake Maye NE,10,,,,,,,,,,,,,,
Jalen Hurts PHI,28.9,20.1,213.6,QB,Jalen Hurts PHI,10,,,,,,,,,,,,,,
Justin Herbert LAC,33.9,22.7,258.0,QB,Justin Herbert LAC,10,,,,,,,,,,,,,,
Bo Nix DEN,33.4,21.5,221.5,QB,Bo Nix DEN,10,,,,,,,,,,,,,,
Daniel Jones IND,32.7,22.4,245.5,QB,Daniel Jones IND,10,,,,,,,,,,,,,,
Caleb Williams CHI,32.3,20.3,229.1,QB,Caleb Williams CHI,10,,,,,,,,,,,,,,
Jared Goff DET,31.4,23.4,271.6,QB,Jared Goff DET,10,,,,,,,,,,,,,,
Baker Mayfield TB,31.8,21.2,244.7,QB,Baker Mayfield TB,10,,,,,,,,,,,,,,
Matthew Stafford LAR,34.9,23.3,256.4,QB,Matthew Stafford LAR,10,,,,,,,,,,,,,,
Marcus Mariota WAS,30.0,19.0,214.0,QB,Marcus Mariota WAS,10,,,,,,,,,,,,,,
Sam Darnold SEA,30.6,20.8,250.8,QB,Sam Darnold SEA,10,,,,,,,,,,,,,,
Jordan Love GB,32.3,21.2,240.6,QB,Jordan Love GB,10,,,,,,,,,,,,,,
J.J. McCarthy MIN,31.7,20.1,220.5,QB,J.J. McCarthy MIN,10,,,,,,,,,,,,,,
Justin Fields NYJ,26.1,16.2,177.6,QB,Justin Fields NYJ,10,,,,,,,,,,,,,,
Aaron Rodgers PIT,32.3,21.2,221.9,QB,Aaron Rodgers PIT,10,,,,,,,,,,,,,,
Michael Penix Jr. ATL,33.7,21.0,241.5,QB,Michael Penix Jr. ATL,10,,,,,,,,,,,,,,
Trevor Lawrence JAC,32.5,19.2,208.0,QB,Trevor Lawrence JAC,10,,,,,,,,,,,,,,
Jacoby Brissett ARI,33.7,21.4,217.7,QB,Jacoby Brissett ARI,10,,,,,,,,,,,,,,
Tua Tagovailoa MIA,33.0,22.3,227.4,QB,Tua Tagovailoa MIA,10,,,,,,,,,,,,,,
Bryce Young CAR,28.6,17.7,182.1,QB,Bryce Young CAR,10,,,,,,,,,,,,,,
Dillon Gabriel CLE,32.0,19.5,198.8,QB,Dillon Gabriel CLE,10,,,,,,,,,,,,,,
Geno Smith LV,31.5,20.6,217.2,QB,Geno Smith LV,10,,,,,,,,,,,,,,
Davis Mills HOU,33.8,19.7,208.9,QB,Davis Mills HOU,10,,,,,,,,,,,,,,
Mac Jones SF,30.2,19.6,212.9,QB,Mac Jones SF,10,,,,,,,,,,,,,,
Tyler Shough NO,31.7,19.5,200.3,QB,Tyler Shough NO,10,,,,,,,,,,,,,,
Brock Purdy SF,5.6,3.7,43.4,QB,Brock Purdy SF,10,,,,,,,,,,,,,,
Tyrod Taylor NYJ,2.2,1.3,13.2,QB,Tyrod Taylor NYJ,10,,,,,,,,,,,,,,
Riley Leonard IND,1.1,0.6,6.5,QB,Riley Leonard IND,10,,,,,,,,,,,,,,
Will Howard PIT,0.9,0.6,6.4,QB,Will Howard PIT,10,,,,,,,,,,,,,,
Jalen Milroe SEA,0.4,0.3,2.8,QB,Jalen Milroe SEA,10,,,,,,,,,,,,,,
